role,rank,score,interest_overlap,topic_overlap,mutual_friends_score,social_boost,location_match,age_compatibility,name,age,hometown,homestate,college,degree,job,hobbies_activities_sports_games_skills_certifications,interests_likes,fan_of,faith_religion,travel,friends_in_common
CANDIDATE,10,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,Dylan Patel,28,Raleigh,New Jersey,Ohio State,MS Computer Science,Content Strategist,Camping; Swimming,Psychology; Philosophy; Stoicism; Pizza; Travel; Wine Bars,Call Her Daddy; Lord of the Rings; NFL; MLS,Atheist,Bali; Thailand,0
CANDIDATE,11,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,Cameron Yamamoto,29,Phoenix,Arizona,Vanderbilt,MS Public Health,Account Manager,Volunteering; Cooking; Trivia; Guitar; Scrum Master,Boba Tea; Bad Bunny; Stoicism; Street Art; Kendrick Lamar; Sushi; Nutrition,Joe Rogan; NFL; NBA; Ted Lasso,Muslim,Greece; Austin; Amsterdam; Colombia,0
CANDIDATE,12,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,Ivy Hayes,19,Columbus,Washington,ASU,BS Finance,Graphic Designer,Trivia; Volunteering; React,Kendrick Lamar; Sushi; Astrology; Wine Bars,MLB; Coldplay,Atheist,Morocco; London,0
CANDIDATE,13,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,Miles Nelson,18,Minneapolis,Pennsylvania,Penn State,BS Electrical Engineering,Data Scientist,Podcasting; Basketball,Pasta; Sushi; Travel; Smash Bros,Joe Rogan; Phoebe Bridgers; Dune; Bad Bunny; Ted Lasso,Prefer not to say,Italy; Berlin; London; Dublin,0
CANDIDATE,14,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,Luna Torres,18,Nashville,California,Rice University,BA Communications,Data Scientist,Reading; Baking; Video Games; Rock Climbing; Painting; Data Visualization,Architecture; Sustainability; Tech; True Crime; Fitness; Mindfulness; Minecraft,The Bear; Succession; Marvel,Jewish,Amsterdam; Nashville; Bali,0
CANDIDATE,15,0.0900,0.0000,0.1000,0.0000,0.0000,0.0000,0.3000,Darius Clark,31,San Francisco,Oregon,UT Dallas,MS Data Science,Nurse,Blogging; Cooking; Pickleball,Kendrick Lamar; Bad Bunny; Sustainability; Coldplay; Doja Cat; Tyler the Creator; Stoicism,Bad Bunny; Premier League,Hindu,Portugal; Dublin; NYC; Bali,0
CANDIDATE,16,0.0750,0.1250,0.0000,0.0000,0.0000,0.0000,0.2000,Yusuf Carter,32,Boston,Tennessee,Ohio State,BA Political Science,Community Manager,Running; Cooking; Board Games; Adobe Suite; CPR Certified,Fitness; Smash Bros; Tacos; Minecraft; Pizza; Mindfulness; Architecture,Lord of the Rings; Stranger Things; Lex Fridman; Phoebe Bridgers; Succession,Spiritual,Costa Rica; France; Greece,0
CANDIDATE,17,0.0464,0.0000,0.1429,0.0000,0.0000,0.0000,0.1000,Fiona Diaz,33,Charlotte,Arizona,University of Colorado Boulder,MS Data Science,Nurse,Cooking; Running; Video Games; Kayaking; Singing; First Aid,Psychology; Coldplay; Phoebe Bridgers; Frank Ocean,Call Her Daddy; Coldplay; Premier League; Star Wars; MLS,Prefer not to say,New Zealand; Denver; Portugal; Berlin,0
CANDIDATE,18,0.0214,0.0000,0.1429,0.0000,0.0000,0.0000,0.0000,Nathan Ishikawa,35,Fort Worth,Missouri,UCLA,BA Communications,Nurse,Camping; Gardening; Chess; Kayaking,BBQ; Tacos; Sushi; Philosophy,Succession; Lex Fridman; Dune; Marvel; Phoebe Bridgers,Prefer not to say,New Zealand; Denver; Japan; NYC,0
CANDIDATE,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Brooke Ibrahim,34,Salt Lake City,Wisconsin,UT Dallas,BS Nursing,Frontend Developer,Woodworking; Reading,True Crime; Craft Cocktails; Pasta; Bad Bunny; Sushi,Joe Rogan; Lord of the Rings; Bad Bunny,Jewish,Peru; Lisbon,0
CANDIDATE,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Brooke Scott,37,Salt Lake City,Pennsylvania,University of North Carolina,BS Nursing,Frontend Developer,D&D; Dancing; Fishing,Mario Kart; Street Art; Sushi; Tech; Travel; Architecture,Star Wars; Sapiens; Call Her Daddy; Dune,Christian,Vancouver; Seoul; Mexico; Bali,0
